slope_female	slope_male	diff	z	p.value	q.value
0.256879246037764	0.195607787586978	-0.0612714584507861	-0.231325408434793	0.408531004427696	0
0.270688129109435	0.214849468037859	-0.0558386610715754	-0.211429555854451	0.416276047876966	0
0.283217661589792	0.231876098295868	-0.051341563293924	-0.19502393379307	0.422687105450888	0
0.293778091124085	0.246814033040252	-0.0469640580838332	-0.178979847807966	0.428976762650877	0
0.261291355960715	0.192809635559207	-0.0684817204015081	-0.258650758902235	0.397952357778747	0
0.250399943011906	0.176798967625063	-0.0736009753868435	-0.277400323192608	0.390736366744006	0
0.243981977425643	0.163794083064964	-0.0801878943606795	-0.30182529939082	0.381392621816927	0
0.273006513298637	0.211480384442336	-0.0615261288563009	-0.233034765230042	0.407867205030709	0
0.301942081245394	0.259481852656382	-0.0424602285890123	-0.162293283540842	0.435537451761966	0
0.28577989076978	0.228615624641425	-0.0571642661283548	-0.217215485077744	0.41402020871266	0
0.240726590027213	0.149697106518607	-0.0910294835086059	-0.342317111604841	0.366056129703822	0
0.305470343509711	0.274626437461108	-0.0308439060486034	-0.118167533693467	0.452967457022439	0
0.295995244721523	0.245698864973286	-0.0502963797482371	-0.19178954333814	0.423953531061044	0
0.237931077203518	0.144621010573559	-0.0933100666299596	-0.350822991295909	0.362860573792842	0
0.306598146140766	0.26844388030361	-0.0381542658371551	-0.146145852632703	0.441903124906506	0
0.25590878943283	0.174174281218809	-0.0817345082140209	-0.308109473784232	0.3789995163216	0
0.277022949898825	0.208335739085609	-0.0686872108132159	-0.260213713128	0.397349463489583	0
0.303420643159951	0.258654764193425	-0.0447658789665262	-0.17120205735534	0.432032444921872	0
0.238825145881392	0.143348560585868	-0.0954765852955244	-0.359052714059551	0.359777827390549	0
0.268587199817121	0.188711303284388	-0.0798758965327328	-0.301777773651337	0.38141073773188	0
0.250842358164173	0.158350089204581	-0.092492268959592	-0.348118890286439	0.363875449088128	0
0.246096401219563	0.148693375044263	-0.0974030261752999	-0.366299583965741	0.35707077000206	0
0.298280683041022	0.242208405197406	-0.0560722778436159	-0.213850256882467	0.415331916027926	0
0.308014945173675	0.279478173916697	-0.0285367712569777	-0.109401111404806	0.456442176133659	0
0.289803700999886	0.223802242782324	-0.066001458217562	-0.250874654778405	0.40095551021763	0
0.312020954906938	0.277114966244061	-0.0349059886628764	-0.134023726857503	0.446691906188049	0
0.244391558000267	0.143531820082468	-0.100859737917799	-0.379217353340331	0.352263233089919	0
0.238613886055167	0.146056258368985	-0.0925576276861819	-0.348252923230777	0.363825122658638	0
0.310977562238542	0.271238563833152	-0.0397389984053906	-0.152492172345141	0.439399381901084	0
0.304404425295217	0.278823228341944	-0.0255811969532725	-0.0979297508074702	0.46099403789819	0
0.272752260022798	0.184847829054123	-0.0879044309686743	-0.332087034461969	0.369911770060011	0
0.313284306593763	0.280305771980526	-0.0329785346132376	-0.126645901850315	0.449610332498127	0
0.282712906477744	0.20275501769111	-0.0799578887866335	-0.302906175992895	0.380980682288719	0
0.30795366813951	0.257431208275596	-0.0505224598639142	-0.19341737415044	0.423316054868163	0
0.264352391724497	0.170048518730276	-0.0943038729942213	-0.355532603039055	0.361095312268466	0
0.315041398449504	0.27778641442828	-0.0372549840212246	-0.14318399739434	0.443072433911562	0
0.257457307868512	0.15641879931418	-0.101038508554332	-0.380312920747967	0.35185657273312	0
