IID	Sex	Method 1	Method 2	Method 3	Method 4
140017	Male	0.0163846143030755	0.00935716349055988	0.00589959680457154	0.00589959680457179
140018	Female	0.000425944229901207	0.0100952941392078	0.00315164712755379	0.00315164712755392
140019	Male	0.0503959675720707	0.0345743814760127	0.0334693591366055	0.0334693591366055
140022	Female	0.0140897389927017	-0.00239993479149001	-0.00633061367976223	-0.00633061367976223
140023	Female	-7.98565533657962e-05	-0.00406631701779619	-0.00608851424820994	-0.00608851424820994
140024	Male	0.0262298851286081	0.0223155385267783	0.0162907651671404	0.0162907651671404
140027	Female	-0.0149375691035704	-0.00445145295536091	-0.011884327683699	-0.011884327683699
140029	Female	0.0245751096693947	0.0172113328005241	0.014635989707927	0.014635989707927
140030	Female	-0.00284621097242314	0.00520840384259233	-0.000229687582176611	-0.000229687582176612
140032	Male	0.0173423672503468	0.00629047787381699	-0.000239318229555637	-0.000239318229555638
140033	Male	0.033261627332275	0.00591814305231807	0.00377937554509549	0.00377937554509549
140036	Female	-0.0128591378304345	0.00123198059939704	-0.0054387161143147	-0.0054387161143147
140037	Female	0.0138300029045176	0.00379864608492468	0.00247154934676914	0.00247154934676914
140038	Female	0.0304727830435662	0.0317889960619713	0.0300322802264389	0.0300322802264389
140039	Male	0.0473838189516007	0.0316120284081769	0.030238851501323	0.030238851501323
140040	Male	0.0204971977059486	0.0010130837839848	-0.00287100166648311	-0.00287100166648311
140041	Female	-0.0142671678101969	-0.012533005249292	-0.0179830558495107	-0.0179830558495107
140042	Male	0.0128229171511374	-0.00802366478709312	-0.0133839494138558	-0.0133839494138558
140045	Female	-0.00774101796321252	0.000921548607853839	-0.00163075033596726	-0.00163075033596726
140047	Female	-0.00777490552622755	-0.00712924342518281	-0.00963474193963566	-0.00963474193963566
140049	Male	0.026948323508478	0.00557532648545259	0.000850636450891041	0.000850636450891043
140050	Male	0.0199301964575554	0.0107612964845844	0.00616979373687033	0.00616979373687033
140051	Female	0.0132114331528939	0.0188082380426627	0.0164830335875777	0.0164830335875777
